,OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST
126447,126448,12230602732103281430,12,0,54,0,2023,6,17,6,2,5,3,0,0,1,1,0,0,0,0,"771882,599200000055134","5815702,492799999192357",12.999084078000067,52.42380975400005,1
126500,126501,12230529732109335740,12,0,54,0,2023,5,12,2,3,3,1,0,0,1,0,0,0,0,1,"776446,631299999542534","5812454,643100000917912",13.063352245000033,52.39239714900003,1
126523,126524,12230527732100263430,12,0,54,0,2023,5,17,7,3,4,6,0,0,1,0,0,0,0,0,"777075,793999999761581","5813425,493699999526143",13.073377567000023,52.400785487000064,1
126582,126583,12230521732107252640,12,0,54,0,2023,5,14,1,3,6,7,0,0,1,0,1,0,0,0,"775306,125300000421703","5813324,610700000077486",13.047348878000037,52.400773351000055,1
126659,126660,12230515732122240650,12,0,54,0,2023,5,21,2,3,5,2,1,1,1,1,0,0,0,0,"777944,715800000354648","5812633,522099999710917",13.085459624000066,52.39324315700003,1
126660,126661,12230515732111240510,12,0,54,0,2023,5,15,2,2,5,3,0,0,1,1,0,0,0,0,"776845,084900000132620","5813578,461899999529123",13.070121571000072,52.402273938000064,1
126865,126866,12230426732108197430,12,0,54,0,2023,4,17,4,3,6,4,0,0,1,0,1,0,0,0,"773682,656799999997020","5811398,058499999344349",13.021972442000049,52.38430948100006,1
126897,126898,12230422732110188490,12,0,54,0,2023,4,10,7,3,5,2,0,0,1,1,0,0,0,0,"775662,738800000399351","5813569,514000000432134",13.05277889000007,52.40279020200006,1
126923,126924,12230420732108171540,12,0,54,0,2023,4,7,5,3,5,2,0,0,1,1,0,0,0,0,"773459,609000000171363","5811125,061799999326468",13.018480687000022,52.38197254500005,1
127113,127114,12230331732100143880,12,0,54,0,2023,3,14,6,3,5,3,0,1,1,0,0,0,0,1,"779009,612900000065565","5808984,945599999278784",13.098034078000069,52.35998368400004,1
127183,127184,12230324732112131660,12,0,54,0,2023,3,18,6,3,5,3,1,0,1,1,0,0,0,0,"776246,769500000402331","5812109,828600000590086",13.060138365000057,52.389405760000045,1
127246,127247,12230316732108116230,12,0,54,0,2023,3,16,5,3,5,3,0,0,1,1,0,0,0,0,"772836,697100000455976","5810460,889399999752641",13.008811027000036,52.37632652000008,1
127298,127299,12230421732104187120,12,0,54,0,2023,4,16,6,3,6,7,0,0,1,0,1,0,0,0,"775432,008399999700487","5817131,806399999186397",13.052328336000073,52.43485236400005,1
127420,127421,12230526732109269690,12,0,54,0,2023,5,13,6,3,5,3,0,0,1,1,0,0,0,0,"775381,244599999859929","5812812,616299999877810",13.048029350000036,52.39614406700008,1
127548,127549,12230215732107052010,12,0,54,0,2023,2,8,4,2,3,6,0,0,1,0,0,0,0,0,"774948,461799999698997","5813619,184900000691414",13.042346812000062,52.40359477900006,1
127611,127612,12230209732130052860,12,0,54,0,2023,2,7,5,3,0,2,1,0,1,1,0,0,0,0,"777813,738699999637902","5812457,127199999988079",13.08339348900006,52.391727779000064,1
127689,127690,12230201732107037070,12,0,54,0,2023,2,16,4,3,0,1,2,1,1,0,0,0,0,0,"775276,865000000223517","5813411,717800000682473",13.046991470000023,52.401569229000074,1
127710,127711,12230130732103029580,12,0,54,0,2023,1,6,2,3,5,3,2,1,1,0,0,0,0,1,"772076,989799999631941","5816111,618799999356270",13.002268593000053,52.427382314000056,1
127762,127763,12230123732109022240,12,0,54,0,2023,1,15,2,2,3,6,0,0,1,0,0,0,1,0,"775392,044200000353158","5812810,730599999427795",13.048186122000061,52.39612172600005,1
127773,127774,12230121732100019300,12,0,54,0,2023,1,10,7,3,5,2,0,0,1,1,0,0,0,0,"775070,075000000186265","5812873,390799999237061",13.043517509000026,52.396845460000065,1
127818,127819,12230117732112011890,12,0,54,0,2023,1,15,3,3,6,4,0,0,1,0,1,0,0,0,"776002,476800000295043","5811669,225999999791384",13.056194861000051,52.38557764800004,1
127832,127833,12230116732109009620,12,0,54,0,2023,1,20,2,3,0,1,2,0,1,0,0,0,0,0,"775337,694400000385940","5812820,220399999991059",13.047397157000034,52.39623415600005,1
127854,127855,12230504732110213160,12,0,54,0,2023,5,7,5,3,5,3,0,0,1,1,0,0,0,0,"775412,171099999919534","5813469,084100000560284",13.04902245900007,52.40201564700004,1
127863,127864,12230113732109992730,12,0,54,0,2023,1,12,6,3,5,3,0,0,1,1,0,0,0,0,"774623,423600000329316","5812452,599700000137091",13.036624563000032,52.393295943000055,1
127929,127930,12230106732109990870,12,0,54,0,2023,1,11,6,3,5,2,0,0,1,1,0,0,0,0,"774840,873200000263751","5812669,931800000369549",13.039990447000037,52.39513591000008,1
128188,128189,12230510732109241750,12,0,54,0,2023,5,10,4,3,0,1,0,0,1,0,0,0,0,0,"776491,813000000081956","5812316,866499999538064",13.063900864000061,52.39113880100007,1
128383,128384,12230530732103270230,12,0,54,0,2023,5,10,3,3,5,3,0,0,1,1,0,0,0,0,"773606,648400000296533","5814896,663200000301003",13.023716208000053,52.41572355900007,1
128719,128720,12230504732103209120,12,0,54,0,2023,5,14,5,3,0,7,0,0,1,0,0,0,0,0,"771927,755400000140071","5815773,994400000199676",12.999804647000076,52.424428567000064,1
128787,128788,12230524732112253200,12,0,54,0,2023,5,7,4,2,3,2,0,0,1,0,0,0,0,0,"777041,752500000409782","5811796,593800000846386",13.071531776000029,52.38619532800004,1
129312,129313,12230531732103271710,12,0,54,0,2023,5,9,4,3,5,2,0,0,1,1,0,0,0,0,"773591,823200000450015","5814904,402899999171495",13.023505097000054,52.415800381000054,1
129417,129418,12230517732103245110,12,0,54,0,2023,5,15,4,3,5,3,0,0,1,1,0,0,0,0,"774173,931200000457466","5814537,629100000485778",13.031742268000073,52.41221983400004,1
129470,129471,12230505732112507750,12,0,54,0,2023,5,9,6,3,1,6,0,0,1,1,0,0,0,0,"776233,580199999734759","5812083,255400000140071",13.059923143000049,52.38917410800008,1
129508,129509,12230302732103091990,12,0,54,0,2023,3,16,5,3,5,2,0,0,1,1,0,0,0,0,"773589,184500000439584","5814905,780400000512600",13.023467522000033,52.415814054000066,1
131169,131170,12231222732109703860,12,0,54,0,2023,12,12,6,3,0,7,0,0,1,0,0,0,0,0,"775122,814600000157952","5812861,085500000044703",13.044280578000041,52.39670861500008,1
131236,131237,12231214732105691810,12,0,54,0,2023,12,8,5,3,5,3,0,1,1,1,0,0,0,0,"775700,064000000245869","5815695,515799999237061",13.05507727500003,52.42183698700006,1
131267,131268,12231211732106685210,12,0,54,0,2023,12,15,2,3,9,1,0,1,1,0,0,0,0,0,"770109,713999999687076","5815633,702299999073148",12.973019689000068,52.42407091500007,1
